INIT (YYYYMMDDHH UTC),FHR,Grid Point Lat,Grid Point Lon,Grid Point Elev (m),PSFC (PA),TSFC (K),T2m (K),RH2m (%),Wind Speed 10m (m/s),Wind Direction 10 m (deg),Downward Short Wave (W/m2),Upward Short Wave (W/m2),Downward Long Wave (W/m2),Upward Long Wave (W/m2),Water Equiv Precip (mm),Wet-Bulb Zero Height (m),Snow-to-Liquid Ratio,Snowfall (cm)
2024031818,0,40.589,-111.621,2928.92,71840.0,277.624,273.613,51.5,3.548,146.764,799.0,291.511,199.0,330.28,0.0,2208.3,10.7,0.0
2024031818,1,40.589,-111.621,2928.92,71800.0,278.83,273.888,57.3,3.34,180.452,868.0,316.663,199.1,335.895,0.0,2378.0,11.0,0.0
2024031818,2,40.589,-111.621,2928.92,71730.0,279.538,274.357,48.4,1.835,171.763,874.0,318.845,200.3,339.231,0.0,2329.3,10.7,0.0
2024031818,3,40.589,-111.621,2928.92,71710.0,279.65,274.668,50.1,1.478,133.616,811.7,296.057,202.5,339.822,0.0,2412.3,11.0,0.0
2024031818,4,40.589,-111.621,2928.92,71690.0,278.357,274.698,50.0,2.177,154.719,690.6,251.906,201.3,333.586,0.0,2440.0,11.1,0.0
2024031818,5,40.589,-111.621,2928.92,71750.0,276.725,274.708,53.8,2.642,142.142,514.5,187.625,202.7,325.838,0.0,2529.4,11.2,0.0
2024031818,6,40.589,-111.621,2928.92,71760.0,274.659,274.63,55.3,2.959,136.4,303.2,111.25,204.0,316.313,0.0,2530.3,11.1,0.0
2024031818,7,40.589,-111.621,2928.92,71760.0,272.104,273.032,50.0,2.841,116.75,85.0,32.125,203.7,304.592,0.0,2429.3,11.1,0.0
2024031818,8,40.589,-111.621,2928.92,71700.0,267.234,271.143,45.6,3.975,112.458,0.0,0.0,203.6,283.292,0.0,2389.1,11.1,0.0
2024031818,9,40.589,-111.621,2928.92,71720.0,264.117,271.204,43.6,4.48,112.483,0.0,0.0,205.9,270.329,0.0,2442.9,11.1,0.0
2024031818,10,40.589,-111.621,2928.92,71720.0,261.809,270.994,41.0,3.473,116.934,0.0,0.0,209.4,261.133,0.0,2556.3,11.1,0.0
2024031818,11,40.589,-111.621,2928.92,71690.0,260.5,270.715,40.9,4.016,122.831,0.0,0.0,209.6,256.022,0.0,2619.3,11.1,0.0
2024031818,12,40.589,-111.621,2928.92,71630.0,259.165,270.505,39.4,3.53,138.915,0.0,0.0,208.1,250.743,0.0,2608.9,11.1,0.0
2024031818,13,40.589,-111.621,2928.92,71610.0,257.8,270.466,32.9,2.999,158.848,0.0,0.0,205.7,245.494,0.0,2453.1,11.1,0.0
2024031818,14,40.589,-111.621,2928.92,71590.0,256.308,270.108,24.7,2.01,205.061,0.0,0.0,204.3,239.845,0.0,2314.5,11.0,0.0
2024031818,15,40.589,-111.621,2928.92,71580.0,254.994,269.699,22.5,1.675,221.789,0.0,0.0,203.6,234.781,0.0,2276.0,10.8,0.0
2024031818,16,40.589,-111.621,2928.92,71520.0,253.904,269.392,21.6,1.953,213.939,0.0,0.0,203.6,230.98,0.0,2271.4,10.8,0.0
2024031818,17,40.589,-111.621,2928.92,71460.0,253.062,268.99,21.5,1.393,220.214,0.0,0.0,203.0,227.882,0.0,2254.1,9.6,0.0
2024031818,18,40.589,-111.621,2928.92,71450.0,252.396,268.719,21.8,2.384,221.106,0.0,0.0,202.2,225.572,0.0,2234.9,9.6,0.0
2024031818,19,40.589,-111.621,2928.92,71480.0,252.187,268.168,23.7,3.205,232.675,0.0,0.0,201.4,224.683,0.0,2243.6,9.6,0.0
2024031818,20,40.589,-111.621,2928.92,71490.0,252.119,267.967,25.1,2.647,226.338,47.4,19.625,200.7,224.413,0.0,2258.5,9.6,0.0
2024031818,21,40.589,-111.621,2928.92,71470.0,256.952,269.215,28.5,2.733,222.418,270.1,112.0,200.4,242.215,0.0,2221.0,9.3,0.0
2024031818,22,40.589,-111.621,2928.92,71450.0,267.214,270.989,38.2,2.369,227.218,487.0,193.93,199.5,283.422,0.0,2217.9,9.3,0.0
2024031818,23,40.589,-111.621,2928.92,71440.0,276.817,274.652,46.6,1.906,280.795,670.1,244.521,199.3,326.128,0.0,2343.2,9.3,0.0
2024031818,24,40.589,-111.621,2928.92,71440.0,278.704,274.883,52.7,2.224,300.981,803.0,292.981,200.8,335.339,0.0,2474.8,9.3,0.0
2024031818,25,40.589,-111.621,2928.92,71400.0,279.551,274.898,59.0,2.655,304.051,875.0,319.392,201.7,339.435,0.0,2580.3,9.3,0.0
2024031818,26,40.589,-111.621,2928.92,71390.0,279.727,274.907,58.7,2.931,305.619,882.0,321.632,202.0,340.272,0.0,2601.4,9.4,0.0
2024031818,27,40.589,-111.621,2928.92,71380.0,279.269,275.102,55.6,3.066,304.036,820.4,299.333,201.9,338.013,0.0,2595.9,9.4,0.0
2024031818,28,40.589,-111.621,2928.92,71370.0,278.286,275.314,55.2,3.183,303.838,696.9,254.292,202.4,333.187,0.0,2630.3,9.4,0.0
2024031818,29,40.589,-111.621,2928.92,71320.0,276.904,275.135,62.6,2.781,328.969,520.0,189.75,204.4,326.758,0.0,2742.3,7.0,0.0
2024031818,30,40.589,-111.621,2928.92,71270.0,275.041,274.683,67.8,2.302,335.279,309.8,113.25,202.5,317.886,0.0,2775.0,6.0,0.0
2024031818,31,40.589,-111.621,2928.92,71250.0,272.355,273.119,64.3,2.191,309.95,90.1,33.875,199.7,305.788,0.0,2695.0,8.4,0.0
2024031818,32,40.589,-111.621,2928.92,71260.0,267.077,271.151,52.0,2.299,304.282,0.0,0.0,196.6,282.691,0.0,2571.2,9.3,0.0
2024031818,33,40.589,-111.621,2928.92,71260.0,262.453,270.809,41.9,1.486,285.865,0.0,0.0,191.9,263.605,0.0,2503.6,9.1,0.0
2024031818,34,40.589,-111.621,2928.92,71250.0,258.69,269.884,30.1,1.69,302.738,0.0,0.0,185.4,248.725,0.0,2292.9,9.2,0.0
2024031818,35,40.589,-111.621,2928.92,71230.0,255.806,269.109,21.8,3.115,310.411,0.0,0.0,183.3,238.004,0.0,2107.3,9.4,0.0
2024031818,36,40.589,-111.621,2928.92,71220.0,254.292,268.348,22.3,4.154,324.925,0.0,0.0,183.9,232.248,0.0,2144.3,9.3,0.0
2024031818,37,40.589,-111.621,2928.92,71210.0,253.712,268.018,23.2,4.702,325.361,0.0,0.0,188.8,230.324,0.0,2177.2,9.2,0.0
2024031818,38,40.589,-111.621,2928.92,71190.0,253.913,268.006,25.0,4.948,330.027,0.0,0.0,190.8,231.021,0.0,2236.8,8.9,0.0
2024031818,39,40.589,-111.621,2928.92,71170.0,253.853,267.822,26.7,4.681,330.043,0.0,0.0,190.2,230.821,0.0,2257.1,9.1,0.0
2024031818,40,40.589,-111.621,2928.92,71150.0,253.793,267.597,28.1,4.94,321.289,0.0,0.0,190.5,230.471,0.0,2274.4,9.1,0.0
2024031818,41,40.589,-111.621,2928.92,71130.0,253.666,267.5,30.8,4.2,315.535,0.0,0.0,192.5,229.92,0.0,2303.3,8.8,0.0
2024031818,42,40.589,-111.621,2928.92,71120.0,253.565,267.121,36.7,4.637,317.844,0.0,0.0,194.7,229.661,0.0,2386.8,8.1,0.0
2024031818,43,40.589,-111.621,2928.92,71130.0,253.609,266.874,38.3,4.486,314.203,0.0,0.0,194.8,229.749,0.0,2386.1,8.5,0.0
2024031818,44,40.589,-111.621,2928.92,71150.0,254.117,267.073,36.3,4.64,316.329,53.1,22.0,194.6,231.781,0.0,2340.3,8.3,0.0
2024031818,45,40.589,-111.621,2928.92,71160.0,259.158,268.509,41.6,3.724,299.282,277.4,115.0,195.5,250.615,0.0,2353.0,8.4,0.0
2024031818,46,40.589,-111.621,2928.92,71170.0,269.075,270.482,59.4,3.089,290.571,494.4,193.137,195.1,291.137,0.0,2374.9,8.7,0.0
2024031818,47,40.589,-111.621,2928.92,71200.0,276.245,273.934,54.3,5.22,309.994,677.8,247.294,195.7,323.46,0.0,2384.6,8.9,0.0
2024031818,48,40.589,-111.621,2928.92,71210.0,277.601,274.088,52.5,4.812,318.255,812.0,296.149,195.7,329.888,0.0,2389.2,9.1,0.0
